Pros_No,married,own_home,household_size,income,age,zip_code
1,0,1,1,45,42,8201
2,1,1,2,35,43,8690
3,1,1,1,75,76,22203
4,1,1,2,35,36,22026
5,1,1,5,175,62,19103
6,1,1,1,35,42,22030
7,0,1,7,70,71,22308
8,1,1,2,35,36,22151
9,0,1,2,35,59,22201
10,0,1,2,35,78,20895
11,1,1,3,50,37,21771
12,0,1,4,35,48,19002
13,1,1,2,85,37,21794
14,0,1,1,35,79,20854
15,0,1,1,110,67,21212
16,0,1,3,105,51,22046
17,1,1,1,45,84,8077
18,0,1,1,35,57,18901
19,1,1,3,40,53,20904
20,1,1,4,35,48,21146
21,0,1,2,85,56,23185
22,0,1,2,95,62,20814
23,0,1,4,140,50,21210
24,1,1,1,90,53,22203
25,1,1,3,35,33,22003
26,1,1,3,35,57,20170
27,1,1,3,35,58,21044
28,1,1,2,145,35,22032
29,0,1,2,35,54,19446
30,0,1,4,175,73,19087
31,0,1,2,35,35,20815
32,0,1,2,60,90,20181
33,1,1,3,120,53,22066
34,0,1,1,50,43,22401
35,0,1,2,95,82,19130
36,0,1,1,35,50,20008
37,1,1,2,105,73,23185
38,1,0,2,35,71,22192
39,1,1,5,175,37,21044
40,1,1,3,35,50,8098
41,0,1,2,175,63,22305
42,0,1,4,70,78,22015
43,1,1,3,95,35,20814
44,0,1,3,165,59,23229
45,0,1,1,115,86,23185
46,1,1,6,35,40,7728
47,0,0,1,105,35,22201
48,1,1,3,35,59,23185
49,1,1,3,35,45,20176
50,0,1,2,80,54,22203
51,1,1,4,40,43,20181
52,1,0,2,50,64,21030
53,1,1,1,35,46,21702
54,1,1,2,175,56,22030
55,1,1,2,35,78,18966
56,1,1,4,35,44,21702
57,1,1,2,130,56,22308
58,1,1,2,35,59,18901
59,1,1,3,35,61,8075
60,1,1,6,40,47,8057
61,1,1,2,35,58,8723
62,1,1,2,55,56,19119
63,1,1,3,35,56,20852
64,0,1,1,70,77,19087
65,0,0,1,55,58,8724
66,1,1,3,35,65,21042
67,1,1,6,60,43,21029
68,1,1,2,35,84,19087
69,1,1,2,50,59,20037
70,1,1,4,35,51,20187
71,0,1,2,35,76,21015
72,1,1,3,95,63,20816
73,1,1,4,115,47,23113
74,0,1,3,35,54,19053
75,0,1,1,35,49,8690
76,1,0,1,105,36,20190
77,0,1,2,35,67,18940
78,1,1,1,35,66,8527
79,1,1,2,85,70,8753
80,1,1,2,175,62,20170
81,1,1,4,85,55,21117
82,1,1,2,55,48,8505
83,1,1,2,175,66,22015
84,1,1,4,35,48,21122
85,1,1,3,35,57,21061
86,1,1,1,35,54,22033
87,0,1,2,35,44,22066
88,1,1,2,175,63,8071
89,1,1,3,35,41,21090
90,0,1,5,175,62,20815
91,1,1,2,40,62,22202
92,1,1,2,35,47,8360
93,1,1,3,175,54,20855
94,0,1,2,175,30,8610
95,0,1,2,50,81,8005
96,0,1,3,90,54,21012
97,1,1,2,35,56,21074
98,1,0,3,35,39,20874
99,0,1,3,35,53,21074
100,1,1,2,65,46,20007
101,1,1,3,175,59,20132
102,1,1,4,35,53,21093
103,0,1,2,35,44,21044
104,1,1,5,100,39,8055
105,1,1,2,35,48,22192
106,1,1,1,35,48,20002
107,1,1,3,35,50,21228
108,1,1,3,90,43,21236
109,0,1,3,35,37,22041
110,0,1,3,35,57,21093
111,0,1,3,35,70,20901
112,0,1,3,115,30,19115
113,1,1,2,35,52,20181
114,0,1,1,45,51,20910
115,1,1,2,50,51,8721
116,1,1,5,65,44,20817
117,1,1,3,35,64,20708
118,1,1,2,75,63,22315
119,1,1,2,75,68,8361
120,0,1,1,175,49,21228
121,0,1,4,155,38,20194
122,1,1,5,85,50,8221
123,0,1,4,175,70,20854
124,1,1,2,175,46,22192
125,1,1,1,35,71,22304
126,1,1,2,55,55,22207
127,1,1,3,120,50,20165
128,1,1,2,55,42,21234
129,1,1,5,175,55,20723
130,0,1,1,35,46,22311
131,0,1,3,65,53,8088
132,0,1,1,105,51,23233
133,1,0,2,75,42,22307
134,1,1,2,80,62,22193
135,1,1,2,65,73,22033
136,0,1,2,35,43,21401
137,1,1,3,175,65,23229
138,1,1,3,175,60,22207
139,1,1,4,50,72,19087
140,0,1,1,35,75,20853
141,0,1,3,45,75,21093
142,1,1,3,35,42,19006
143,1,1,6,105,39,20110
144,0,1,1,35,57,22701
145,0,1,1,100,57,22314
146,0,1,6,35,56,8052
147,1,1,2,75,43,8053
148,0,1,3,40,70,21227
149,1,0,1,35,32,22315
150,1,1,1,35,70,22193
151,1,1,3,35,48,21075
152,1,1,3,175,59,18901
153,0,1,1,35,44,21236
154,1,1,5,35,45,8054
155,1,1,2,35,50,21122
156,1,1,2,35,64,22032
157,0,1,2,80,38,20181
158,0,1,3,175,59,21030
159,1,1,3,35,42,8035
160,1,1,5,35,54,20109
161,1,1,2,90,69,22401
162,1,1,3,35,59,20877
163,1,1,4,55,53,8204
164,0,1,1,35,62,8035
165,1,1,3,35,36,20901
166,0,1,1,80,54,20878
167,0,1,4,100,64,7728
168,1,1,4,45,51,21210
169,0,1,2,35,50,19128
170,0,1,1,35,79,21218
171,0,0,3,50,47,8204
172,0,1,3,35,35,8003
